date,type,kg,kr,avg price,max price,min price
20231220,Toskur 1,737,20405.40,27.68,28.10,27.00
20231220,Toskur 2,819,21822.60,26.66,27.10,26.00
20231220,Toskur 3,368,7656.80,20.80,21.10,20.00
20231220,Toskur 4,106,1877.10,17.79,18.10,17.00
20231220,Toskur 5,21,198.80,9.70,10.10,9.00
20231220,Brosma MSC,200,600.00,3.00,3.00,3.00
20231220,Longa 1 MSC,878,11961.87,13.62,13.80,13.40
20231220,Longa 2 MSC,2384,32475.63,13.62,13.80,13.40
20231220,Longa 3 MSC,274,3734.28,13.62,13.80,13.40
20231220,Longa 4 MSC,88,1203.22,13.63,13.80,13.40
20231220,Havtaska,198,5940.00,30.00,30.00,30.00
20231218,Toskur 1,754,20490.80,27.16,33.10,27.00
20231218,Toskur 2,826,21585.60,26.15,30.00,26.00
20231218,Toskur 3,528,11732.00,22.24,29.00,20.00
20231218,Toskur 4,522,10480.80,20.06,21.00,17.00
20231218,Toskur 5,60,600.00,10.00,10.00,10.00
20231218,Hysa 1 MSC,70,1061.00,15.16,15.30,15.10
20231218,Hysa 2 MSC,1850,35355.00,19.11,19.80,14.70
20231218,Hysa 3 MSC,1250,13875.00,11.10,11.10,11.10
20231218,Hysa 4 MSC,80,176.00,2.20,2.20,2.20
20231218,Hysa MSC,3000,28800.00,9.60,10.00,8.70
20231218,Hvitingur,20,82.00,4.10,4.10,4.10
20231218,Brosma MSC,220,660.00,3.00,3.00,3.00
20231218,Longa 1 MSC,649,8825.86,13.60,13.60,13.60
20231218,Longa 2 MSC,1672,22743.55,13.60,13.60,13.60
20231218,Longa 3 MSC,150,2036.74,13.60,13.60,13.60
20231218,Longa 4 MSC,25,339.46,13.60,13.60,13.60
20231218,Longa MSC,20,160.00,8.00,8.00,8.00
20231218,Svartkalvi,3000,102000.00,34.00,34.20,33.70
20231218,Blalonga,50,305.00,6.10,6.10,6.10
20231218,Kongafiskur,300,2400.00,8.00,8.00,8.00
20231218,Havtaska,1002,39900.40,39.82,43.00,36.00
20231218,Liri,20,140.00,7.00,7.00,7.00
20231215,Toskur 1,116,4048.40,34.90,34.90,34.90
20231215,Toskur 2,49,1607.20,32.80,32.80,32.80
20231215,Toskur 3,384,9638.40,25.10,25.10,25.10
20231215,Toskur 4,1358,29740.20,21.90,21.90,21.90
20231215,Toskur 5,78,1092.00,14.00,14.00,14.00
20231215,Toskur 5 kg + fryst,63403,2624884.25,41.40,41.40,41.40
20231215,Toskur 2.5 - 5.0 kg fryst,594,21384.00,36.00,36.00,36.00
20231215,Hysa 1 MSC,20,338.68,16.70,16.70,16.70
20231215,Hysa 2 MSC,690,8756.90,12.70,12.70,12.70
20231215,Hysa 3 MSC,1257,14711.11,11.70,11.70,11.70
20231215,Hysa 4 MSC,61,225.11,3.70,3.70,3.70
20231215,Hvitingur,3,24.00,8.00,8.00,8.00
20231215,Longa 1 MSC,29,319.00,11.00,11.00,11.00
20231215,Longa 4 MSC,3,12.00,4.00,4.00,4.00
20231215,Svartkalvi 3-5 kg fryst,875,37187.50,42.50,42.50,42.50
20231215,Svartkalvi 2-3 kg fryst,1940,80510.00,41.50,41.50,41.50
20231215,Svartkalvi 1-2 kg fryst,2234,82658.00,37.00,37.00,37.00
20231215,Svartkalvi 0-1 kg fryst,131,3406.00,26.00,26.00,26.00
20231215,Svartkalva hovd fryst,1575,37800.00,24.00,24.00,24.00
20231215,Svartkalva halar fryst,227,4994.00,22.00,22.00,22.00
20231215,Havtaska,11,368.50,33.50,33.50,33.50
20231215,Havtaskuhalar fryst,742,40810.00,55.00,55.00,55.00
20231215,Kalvi 10-40 kg fryst,16,960.00,60.00,60.00,60.00
20231213,Toskur 1,7883,272407.91,34.56,35.40,33.10
20231213,Toskur 2,5595,187851.99,33.57,34.40,31.70
20231213,Toskur 3,13050,365738.81,28.03,29.00,25.10
20231213,Toskur 4,17781,405372.31,22.80,24.40,21.90
20231213,Toskur 5,2397,31071.50,12.96,15.40,11.90
20231213,Toskur,2565,53959.00,21.04,22.60,15.00
20231213,Hysa 1 MSC,3074,41640.30,13.55,15.70,11.00
20231213,Hysa 2 MSC,38403,333230.69,8.68,9.60,7.00
20231213,Hysa 3 MSC,36452,264148.71,7.25,9.50,6.00
20231213,Hysa 4 MSC,1443,1577.00,1.09,2.00,-2.00
20231213,Hvitingur,598,4050.00,6.77,7.50,6.00
20231213,Upsi 1 MSC,1550,24565.00,15.85,16.20,15.60
20231213,Upsi 2 MSC,900,14220.00,15.80,15.80,15.80
20231213,Upsi 3 MSC,400,3200.00,8.00,8.00,8.00
20231213,Upsi 4 MSC,105,420.00,4.00,4.00,4.00
20231213,Upsi 5 MSC,10,40.00,4.00,4.00,4.00
20231213,Upsi MSC,350,2100.00,6.00,6.00,6.00
20231213,Brosma 1 MSC,100,800.00,8.00,8.00,8.00
20231213,Brosma 2 MSC,540,4320.00,8.00,8.00,8.00
20231213,Brosma 3 MSC,1160,6960.00,6.00,6.00,6.00
20231213,Brosma 4 MSC,220,880.00,4.00,4.00,4.00
20231213,Brosma MSC,312,1248.00,4.00,4.00,4.00
20231213,Brosma,10,30.00,3.00,3.00,3.00
20231213,Longa 1 MSC,680,9384.00,13.80,13.80,13.80
20231213,Longa 2 MSC,342,4719.60,13.80,13.80,13.80
20231213,Longa 3 MSC,210,1965.00,9.36,9.90,8.00
20231213,Longa 4 MSC,95,570.00,6.00,6.00,6.00
20231213,Longa 5 MSC,10,40.00,4.00,4.00,4.00
20231213,Longa MSC,1055,12027.00,11.40,13.20,7.20
20231213,Longa,10,40.00,4.00,4.00,4.00
20231213,Svartkalvi 1,1403,81482.90,58.08,78.50,45.00
20231213,Svartkalvi 2,2806,162965.80,58.08,78.50,45.00
20231213,Svartkalvi 3,7015,407414.50,58.08,78.50,45.00
20231213,Svartkalvi 4,2806,162965.80,58.08,78.50,45.00
20231213,Svartkalvi (sek.),1720,27520.00,16.00,16.00,16.00
20231213,Blalonga,1275,17850.00,14.00,14.00,14.00
20231213,Kongafiskur,80,640.00,8.00,8.00,8.00
20231213,Havtaska,994,47398.50,47.68,50.00,39.70
20231213,Havtaska 1,1040,46048.00,44.28,48.30,33.00
20231213,Havtaska 2,3380,154706.00,45.77,48.30,33.00
20231213,Havtaska 3,4420,192674.00,43.59,48.30,33.00
20231213,Havtaska 4,1482,63699.40,42.98,44.10,33.00
20231213,Havtaska 5,78,3352.60,42.98,44.10,33.00
20231213,Havtaska (sek.),1100,17600.00,16.00,16.00,16.00
20231213,Liri,10,60.00,6.00,6.00,6.00
20231213,Kalvi 2,20,1690.00,84.50,84.50,84.50
20231213,Lyrur,22,330.00,15.00,15.00,15.00
20231212,Toskur 1,456,15440.20,33.86,34.40,29.20
20231212,Toskur 2,436,12509.20,28.69,31.00,27.20
20231212,Toskur 3,916,23292.20,25.43,26.30,24.20
20231212,Toskur 4,462,10122.40,21.91,22.20,20.20
20231212,Toskur 5,50,700.00,14.00,14.00,14.00
20231212,Hysa 1 MSC,50,950.00,19.00,19.00,19.00
20231212,Hysa 2 MSC,1000,13000.00,13.00,13.00,13.00
20231212,Hvitingur,10,70.00,7.00,7.00,7.00
20231212,Brosma MSC,20,82.00,4.10,4.10,4.10
20231212,Longa 1 MSC,62,890.00,14.35,15.00,13.00
20231212,Longa 2 MSC,566,7844.00,13.86,14.00,10.00
20231212,Longa 3 MSC,220,2810.00,12.77,13.00,8.00
20231212,Longa 4 MSC,42,504.00,12.00,12.00,12.00
20231212,Svartkalvi fryst,57192,2158998.00,37.75,37.75,37.75
20231212,Svartkalva hovd fryst,15489,584709.75,37.75,37.75,37.75
20231212,Svartkalva halar fryst,2451,92525.25,37.75,37.75,37.75
20231212,Havtaska,1260,37800.00,30.00,30.00,30.00
20231212,Skrubba,15,82.50,5.50,5.50,5.50
20231208,Toskur 1,363,10527.00,29.00,29.00,29.00
20231208,Toskur 2,202,5676.20,28.10,28.10,28.10
20231208,Toskur 3,1813,40611.20,22.40,22.40,22.40
20231208,Toskur 4,2196,48312.00,22.00,22.00,22.00
20231208,Toskur 5,180,2898.00,16.10,16.10,16.10
20231208,Hysa 1 MSC,461,7255.00,15.74,17.70,14.00
20231208,Hysa 2 MSC,6779,68663.50,10.13,11.00,9.50
